,,,,,,,,,,,,,
,,,,,,,,,,,,,
Variable-Veh 1 Color,Variable-Veh 1 Distance,Variable-Veh 1 Speed,Variable-Veh 1 Deviation,Variable-Veh 1 Integral,Variable-Veh 1 Derivative,Variable-Veh 1 angle,Variable-Veh 2 Color,Variable-Veh 2 Distance,Variable-Veh 2 Speed,Variable-Veh 2 Deviation,Variable-Veh 2 Integral,Variable-Veh 2 Derivative,Variable-Veh 2 angle
41,2336,91,3.5,0,-1,0.9,52,687,99.225,12,25,-1,9.2
17,2049,91.5,-20.5,0,-24,-20.2,54,687,104.18625,14,39,2,13.3
33,2019,92,-4.5,0,16,6.2,49,687,109.3955625,9,0,-5,2.9
67,2282,92.5,29.5,0,34,28.8,22,687,114.8653406,-18,0,-27,-24.3
37,1936,93,-0.5,0,-30,-15.2,19,687,120.6086077,-21,-21,-3,-16.2
6,1946,93.5,-31.5,-31.5,-31,-31.25,48,687,126.639038,8,0,29,19.3
43,1919,94,5.5,0,37,20.7,62,687,132.9709899,22,22,14,22.4
77,1927,94.5,39.5,39.5,34,36.75,67,687,139.6195394,27,49,5,23.6
46,1885,95,8.5,0,-31,-12.1,17,365,146.6005164,-23,0,-50,-38.8
5,1862,95.5,-32.5,0,-41,-33.5,5,2550,153.9305422,-35,-35,-12,-30.5
36,1831,96,-1.5,0,31,14.9,27,2550,161.6270693,-13,-48,22,-1.6
72,1843,96.5,34.5,0,36,31.8,71,2550,165,31,0,44,40.6
41,1807,97,3.5,0,-31,-14.1,62,2550,165,22,22,-9,10.9
6,1795,97.5,-31.5,0,-35,-30.1,36,1122,165,-4,0,-26,-15.4
22,1762,98,-15.5,-15.5,16,0.25,10,1920,165,-30,-30,-26,-34
75,1748,98.5,37.5,0,53,41.5,20,1791,165,-20,-50,10,-12
69,1740,99,31.5,31.5,-6,12.75,69,1007,165,29,0,49,41.9
10,1722,99.5,-27.5,0,-59,-40.5,74,899,165,34,34,5,26.3
12,1708,100,-25.5,-25.5,2,-11.75,69,2550,165,29,63,-5,21.2
63,1692,100.5,25.5,0,51,35.7,27,1290,165,-13,0,-42,-28.8
64,1676,101,26.5,26.5,1,13.75,19,1965,165,-21,-21,-8,-18.7
12,1662,101.5,-25.5,0,-52,-36.2,36,1210,165,-4,0,17,6.1
6,1640,102,-31.5,-31.5,-6,-18.75,74,1183,165,34,0,38,39.4
55,1628,102.5,17.5,0,49,31.5,76,1155,165,36,36,2,26.2
69,1607,103,31.5,31.5,14,22.75,80,2550,165,40,76,4,33.6
13,1588,103.5,-24.5,0,-56,-37.8,79,1534,165,39,115,-1,34.4
4,1573,104,-33.5,-33.5,-9,-21.25,78,1466,90,38,153,-1,37.6
56,1558,104.5,18.5,0,52,33.4,73,1452,90,33,186,-5,35.9
73,1547,105,35.5,35.5,17,26.25,70,1426,90,30,216,-3,38.1
12,1528,105.5,-25.5,0,-61,-40.7,18,2550,90,-22,0,-52,-39.2
5,1511,106,-32.5,-32.5,-7,-19.75,5,1397,94.5,-35,-35,-13,-31
58,1499,106.5,20.5,0,53,34.7,66,1351,99.225,26,0,61,46.1
74,1482,107,36.5,36.5,16,26.25,82,1376,104.18625,42,42,16,37.4
16,1464,107.5,-21.5,0,-58,-37.6,87,2550,109.3955625,47,89,5,39.6
5,1452,108,-32.5,-32.5,-11,-21.75,77,2550,114.8653406,37,126,-10,29.8
46,1430,108.5,8.5,0,41,23.9,9,1397,90,-31,0,-68,-52.6
68,1413,109,30.5,30.5,22,26.25,5,1389,94.5,-35,-35,-4,-26.5
21,1397,109.5,-16.5,0,-47,-30.1,9,2550,99.225,-31,-66,4,-23.2
5,1385,110,-32.5,-32.5,-16,-24.25,67,2550,104.18625,27,0,58,45.2
43,1381,110.5,5.5,0,38,21.2,70,2550,109.3955625,30,30,3,22.5
71,1352,111,33.5,33.5,28,30.75,75,2550,114.8653406,35,65,5,30
41,1352,111.5,3.5,0,-30,-13.6,74,2550,120.6086077,34,99,-1,29.8
8,1352,112,-29.5,0,-33,-28.3,73,1337,126.639038,33,132,-1,32.5
53,1352,112.5,15.5,0,45,28.7,71,2550,90,31,163,-2,33.9
78,1352,113,40.5,40.5,25,32.75,70,2550,90,30,193,-1,36.8
78,1352,113.5,40.5,81,0,24.3,70,2550,90,30,223,0,40.3
78,1352,114,40.5,121.5,0,28.35,66,1210,90,26,249,-4,38.5
79,1352,114.5,41.5,163,1,33.4,31,2550,90,-9,0,-35,-22.9
78,1227,115,40.5,203.5,-1,36.05,5,893,94.5,-35,-35,-26,-37.5
61,1219,115.5,23.5,227,-17,23.6,27,2420,99.225,-13,-48,22,-1.6
15,1219,116,-22.5,0,-46,-32,77,2550,104.18625,37,0,50,47.2
12,1210,116.5,-25.5,-25.5,-3,-14.25,71,2550,109.3955625,31,31,-6,18.7
78,1183,117,40.5,0,66,49.2,66,1271,114.8653406,26,57,-5,18.8
75,1164,117.5,37.5,37.5,-3,17.25,66,1702,120.6086077,26,83,0,23.9
52,1162,118,14.5,52,-23,-0.5,65,1162,126.639038,25,108,-1,25.3
